Varian?,Nama Varian,SKU,Kategori,Nama Produk,Slug,Deskripsi,Gambar,Harga,Harga Diskon,Harga Beli (HPP),Harga Reseller,Stok,Stok Minimum,Berat (gram),Punya Varian?,Attr: Warna,Attr: Ukuran,Attr: Bahan,Aktif?,Rating/Bintang,Terjual (Manual),Gratis Ongkir?,Meta Title,Meta Description
Tidak,,AKK,Dress,Aretha Kutung Knit,aretha-kutung-knit,,,95000,,54400,,0,0,400,1,,,,1,0,0,0,,
Ya,Latte - ALLSIZE,AKK-L,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Latte,ALLSIZE,Knit,1,0,0,0,,
Ya,Black - ALLSIZE,AKK-B,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Black,ALLSIZE,Knit,1,0,0,0,,
Ya,Woody - ALLSIZE,AKK-W,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Woody,ALLSIZE,Knit,1,0,0,0,,
Ya,Coklat - ALLSIZE,AKK-C,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Coklat,ALLSIZE,Knit,1,0,0,0,,
Ya,Khaki - ALLSIZE,AKK-K,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Khaki,ALLSIZE,Knit,1,0,0,0,,
Ya,Caroline Blue - ALLSIZE,AKK-CB,Dress,Aretha Kutung Knit,,,,95000,,54400,,0,0,400,0,Caroline Blue,ALLSIZE,Knit,1,0,0,0,,
Tidak,,AU,OneSet,Aurin Oneset,aurin-oneset,,,175000,,138570,,0,0,800,1,,,,1,0,0,0,,
Ya,MAPLE BROWN - L,AU-MBL,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,MAPLE BROWN,L,Combed 24s,1,0,0,0,,
Ya,HITAM - L,AU-BLL,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,HITAM,L,Combed 24s,1,0,0,0,,
Ya,NAVY - L,AU-NVM,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,NAVY,L,Combed 24s,1,0,0,0,,
Ya,TOFFE - L,AU-TFM,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,TOFFE,L,Combed 24s,1,0,0,0,,
Ya,TOFFE - XL,AU-TFL,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,TOFFE,XL,Combed 24s,1,0,0,0,,
Ya,HITAM - XL,AU-BLM,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,HITAM,XL,Combed 24s,1,0,0,0,,
Ya,NAVY - XL,AU-NVL,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,NAVY,XL,Combed 24s,1,0,0,0,,
Ya,MAPLE BROWN - XL,AU-MBM,OneSet,Aurin Oneset,,,,175000,,138570,,0,0,800,0,MAPLE BROWN,XL,Combed 24s,1,0,0,0,,
